latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
62.668,155.85,316.4,1,1,2021-07-06,0115,T,63,6.0NRT,300.7,8.6,D
62.653,155.881,342,1,1,2021-07-06,0115,T,91,6.0NRT,300.7,42.4,D
62.649,155.901,325.9,1,1,2021-07-06,0115,T,80,6.0NRT,298,19.4,D
62.992,145.538,335.4,1.4,1.2,2021-07-06,0115,T,88,6.0NRT,299.7,50.4,D
62.99,145.565,327.4,1.4,1.2,2021-07-06,0115,T,83,6.0NRT,297.1,33.4,D
62.984,145.507,334.6,1.4,1.2,2021-07-06,0115,T,88,6.0NRT,300.3,47.7,D
62.982,145.534,341.1,1.4,1.2,2021-07-06,0115,T,91,6.0NRT,299.7,65.2,D
63.438,136.887,309.6,2.8,1.6,2021-07-06,0115,T,50,6.0NRT,294,24,D
63.437,136.88,310.9,2.8,1.6,2021-07-06,0115,T,69,6.0NRT,294.1,28.7,D
61.806,153.835,343,1,1,2021-07-06,0115,T,92,6.0NRT,299.3,40.6,D
61.798,153.829,331.8,1,1,2021-07-06,0115,T,51,6.0NRT,301.4,21.3,D
61.777,153.774,356.8,1,1,2021-07-06,0115,T,98,6.0NRT,302.1,66.4,D
61.775,153.793,348.3,1,1,2021-07-06,0115,T,95,6.0NRT,302.1,46.4,D
61.767,153.782,334.9,1,1,2021-07-06,0115,T,77,6.0NRT,301.3,27.6,D
61.756,153.855,329,1,1,2021-07-06,0115,T,68,6.0NRT,302.2,20.1,D
61.753,153.873,330.9,1,1,2021-07-06,0115,T,85,6.0NRT,301.8,23.9,D
61.75,153.891,314.1,1,1,2021-07-06,0115,T,63,6.0NRT,297.1,7,D
61.761,153.758,317.2,1,1,2021-07-06,0115,T,54,6.0NRT,300.6,8.6,D
61.758,153.776,341.9,1,1,2021-07-06,0115,T,91,6.0NRT,303.4,40.4,D
61.755,153.794,323.5,1,1,2021-07-06,0115,T,62,6.0NRT,303.6,14.3,D
61.747,153.788,327,1,1,2021-07-06,0115,T,49,6.0NRT,300.1,16.5,D
61.744,153.806,337,1,1,2021-07-06,0115,T,84,6.0NRT,300.5,30.3,D
61.741,153.825,330,1,1,2021-07-06,0115,T,62,6.0NRT,300.3,20.5,D
62.073,149.127,318.3,1.1,1,2021-07-06,0115,T,49,6.0NRT,297.9,10.5,D
62.071,149.148,337.3,1.1,1,2021-07-06,0115,T,89,6.0NRT,301.7,36,D
62.059,149.164,320,1.1,1,2021-07-06,0115,T,32,6.0NRT,302.6,12.1,D
62.056,149.185,323.5,1.1,1,2021-07-06,0115,T,78,6.0NRT,298.7,16.3,D
61.932,148.1,322.3,1.2,1.1,2021-07-06,0115,T,76,6.0NRT,297,18.2,D
61.93,148.121,327.6,1.1,1.1,2021-07-06,0115,T,81,6.0NRT,298.2,25.2,D
61.606,150.412,325.3,1,1,2021-07-06,0115,T,80,6.0NRT,298.3,17.5,D
61.603,150.431,334.1,1,1,2021-07-06,0115,T,86,6.0NRT,298.7,29.5,D
61.599,150.388,313.7,1,1,2021-07-06,0115,T,36,6.0NRT,299.6,5.8,D
61.597,150.407,340.3,1,1,2021-07-06,0115,T,90,6.0NRT,301.9,40.4,D
61.594,150.426,323.3,1,1,2021-07-06,0115,T,78,6.0NRT,299.8,16,D
61.591,150.397,335.9,1,1,2021-07-06,0115,T,88,6.0NRT,301,32.9,D
61.588,150.416,332.3,1,1,2021-07-06,0115,T,85,6.0NRT,301.7,27.6,D
61.779,147.721,310.5,1.2,1.1,2021-07-06,0115,T,43,6.0NRT,297.4,5.5,D
61.083,152.288,337.8,1,1,2021-07-06,0115,T,89,6.0NRT,300.6,33,D
61.081,152.306,323.7,1,1,2021-07-06,0115,T,71,6.0NRT,296.9,14.7,D
61.562,148.565,328.3,1.1,1.1,2021-07-06,0115,T,82,6.0NRT,288.7,28.3,D
61.56,148.584,317.6,1.1,1.1,2021-07-06,0115,T,69,6.0NRT,289.6,14.8,D
61.075,152.282,324.3,1,1,2021-07-06,0115,T,75,6.0NRT,299.9,15.5,D
62.083,142.77,319.5,1.7,1.3,2021-07-06,0115,T,73,6.0NRT,297.8,25.6,D
62.08,142.805,314.7,1.7,1.3,2021-07-06,0115,T,56,6.0NRT,296.5,16.2,D
61.069,152.259,326.9,1,1,2021-07-06,0115,T,55,6.0NRT,299.3,17,D
61.567,148.349,309.9,1.1,1.1,2021-07-06,0115,T,15,6.0NRT,294.3,4.9,D
61.696,141.579,325.8,1.8,1.3,2021-07-06,0115,T,77,6.0NRT,297.4,43.3,D
61.694,141.609,324.2,1.8,1.3,2021-07-06,0115,T,72,6.0NRT,299.5,39.5,D
61.701,141.603,321.6,1.8,1.3,2021-07-06,0115,T,68,6.0NRT,296.4,34.2,D
61.691,141.572,317.4,1.8,1.3,2021-07-06,0115,T,51,6.0NRT,297.9,22.8,D
61.689,141.602,320.4,1.8,1.3,2021-07-06,0115,T,62,6.0NRT,299.9,29.7,D
61.437,142.483,312.7,1.7,1.3,2021-07-06,0115,T,56,6.0NRT,296.6,13.3,D
61.434,142.515,337.8,1.7,1.3,2021-07-06,0115,T,89,6.0NRT,299.8,75.1,D
61.176,145.045,309,1.4,1.2,2021-07-06,0115,T,41,6.0NRT,292.8,8.5,D
61.189,142.132,335.9,1.7,1.3,2021-07-06,0115,T,83,6.0NRT,299.2,64.8,D
61.187,142.163,324.9,1.7,1.3,2021-07-06,0115,T,76,6.0NRT,300.8,34.1,D
61.105,143.134,315,1.6,1.2,2021-07-06,0115,T,53,6.0NRT,298.3,13.6,D
